GeneratorKey,Generator,FuelType,FuelKey
ATIKOKAN-G1,ATIKOKAN-G1,Biofuel,BIO
CALSTOCKGS,CALSTOCKGS,Biofuel,BIO
TBAYBOWATER CTS,TBAYBOWATER CTS,Biofuel,BIO
THUNDERBAY-G3,THUNDERBAY-G3,Biofuel,BIO
BRIGHTON BEACH,BRIGHTON BEACH,Gas,GAS
CARDINAL,CARDINAL,Gas,GAS
COCHRANECGS,COCHRANECGS,Gas,GAS
DESTEC,DESTEC,Gas,GAS
DOWCHEMICAL,DOWCHEMICAL,Gas,GAS
DPNTMTLND,DPNTMTLND,Gas,GAS
EAST WINDSOR-G1,EAST WINDSOR-G1,Gas,GAS
EAST WINDSOR-G2,EAST WINDSOR-G2,Gas,GAS
GREENFIELD ENERGY CENTRE-G1,GREENFIELD ENERGY CENTRE-G1,Gas,GAS
GREENFIELD ENERGY CENTRE-G2,GREENFIELD ENERGY CENTRE-G2,Gas,GAS
GREENFIELD ENERGY CENTRE-G3,GREENFIELD ENERGY CENTRE-G3,Gas,GAS
GREENFIELD ENERGY CENTRE-G4,GREENFIELD ENERGY CENTRE-G4,Gas,GAS
GREENFIELD SOUTH-G1,GREENFIELD SOUTH-G1,Gas,GAS
GREENFIELD SOUTH-G2,GREENFIELD SOUTH-G2,Gas,GAS
GTAA-G1,GTAA-G1,Gas,GAS
GTAA-G2,GTAA-G2,Gas,GAS
GTAA-G3,GTAA-G3,Gas,GAS
HALTONHILLS-LT.G1,HALTONHILLS-LT.G1,Gas,GAS
HALTONHILLS-LT.G2,HALTONHILLS-LT.G2,Gas,GAS
HALTONHILLS-LT.G3,HALTONHILLS-LT.G3,Gas,GAS
HYDROGEN READY POWER PLANT (HRPP),HYDROGEN READY POWER PLANT (HRPP),Gas,GAS
KAPGS,KAPGS,Gas,GAS
LAKESUPERIOR,LAKESUPERIOR,Gas,GAS
LENNOX-G1,LENNOX-G1,Gas,GAS
LENNOX-G2,LENNOX-G2,Gas,GAS
LENNOX-G3,LENNOX-G3,Gas,GAS
LENNOX-G4,LENNOX-G4,Gas,GAS
NAPANEE-G1,NAPANEE-G1,Gas,GAS
NAPANEE-G2,NAPANEE-G2,Gas,GAS
NAPANEE-G3,NAPANEE-G3,Gas,GAS
NIPIGONGS,NIPIGONGS,Gas,GAS
NORTHBAYGS,NORTHBAYGS,Gas,GAS
NPCOCHRANE,NPCOCHRANE,Gas,GAS
NPIROQFALLS,NPIROQFALLS,Gas,GAS
NPKIRKLAND-G1-G5,NPKIRKLAND-G1-G5,Gas,GAS
NPKIRKLAND-G6,NPKIRKLAND-G6,Gas,GAS
PORTLANDS-G1,PORTLANDS-G1,Gas,GAS
PORTLANDS-G2,PORTLANDS-G2,Gas,GAS
PORTLANDS-G3,PORTLANDS-G3,Gas,GAS
SITHE GOREWAY-G11,SITHE GOREWAY-G11,Gas,GAS
SITHE GOREWAY-G12,SITHE GOREWAY-G12,Gas,GAS
SITHE GOREWAY-G13,SITHE GOREWAY-G13,Gas,GAS
SITHE GOREWAY-G15,SITHE GOREWAY-G15,Gas,GAS
STCLAIRCGS,STCLAIRCGS,Gas,GAS
TADOUGLAS,TADOUGLAS,Gas,GAS
TAOHSC,TAOHSC,Gas,GAS
TASARNIA,TASARNIA,Gas,GAS
TAWINDSOR,TAWINDSOR,Gas,GAS
THOROLDCGS,THOROLDCGS,Gas,GAS
TUNISGS,TUNISGS,Gas,GAS
WESTWINDSOR,WESTWINDSOR,Gas,GAS
WHITBYCGS,WHITBYCGS,Gas,GAS
YORKCGS-G1,YORKCGS-G1,Gas,GAS
YORKCGS-G2,YORKCGS-G2,Gas,GAS
ABKENORA,ABKENORA,Hydro,HYD
AGUASABON,AGUASABON,Hydro,HYD
ALEXANDER,ALEXANDER,Hydro,HYD
APIROQUOIS,APIROQUOIS,Hydro,HYD
ARNPRIOR,ARNPRIOR,Hydro,HYD
AUBREYFALLS,AUBREYFALLS,Hydro,HYD
BARRETT,BARRETT,Hydro,HYD
BECK1,BECK1,Hydro,HYD
BECK2,BECK2,Hydro,HYD
BECK2 PGS,BECK2 PGS,Hydro,HYD
CAMERONFALLS,CAMERONFALLS,Hydro,HYD
CANYON,CANYON,Hydro,HYD
CARIBOUFALLS,CARIBOUFALLS,Hydro,HYD
CARMICHAEL,CARMICHAEL,Hydro,HYD
CHATSFALLS,CHATSFALLS,Hydro,HYD
CHENAUX,CHENAUX,Hydro,HYD
CLERGUE,CLERGUE,Hydro,HYD
DA WATSON,DA WATSON,Hydro,HYD
DECEWFALLS,DECEWFALLS,Hydro,HYD
DECEWND1,DECEWND1,Hydro,HYD
DESJOACHIMS,DESJOACHIMS,Hydro,HYD
EARFALLS,EARFALLS,Hydro,HYD
FORTFRANCSWC,FORTFRANCSWC,Hydro,HYD
GARTSHORE,GARTSHORE,Hydro,HYD
HARMON,HARMON,Hydro,HYD
HARMON 2,HARMON 2,Hydro,HYD
HARRIS,HARRIS,Hydro,HYD
HOLDEN,HOLDEN,Hydro,HYD
HOLINGSWTH,HOLINGSWTH,Hydro,HYD
KAKABEKA,KAKABEKA,Hydro,HYD
KIPLING,KIPLING,Hydro,HYD
KIPLING 2,KIPLING 2,Hydro,HYD
LITTLELONG,LITTLELONG,Hydro,HYD
LITTLELONG 2,LITTLELONG 2,Hydro,HYD
LONGSAULTE,LONGSAULTE,Hydro,HYD
LOWER WHITE RIVER,LOWER WHITE RIVER,Hydro,HYD
LOWERNOTCH,LOWERNOTCH,Hydro,HYD
MACKAYGS,MACKAYGS,Hydro,HYD
MANITOUFALLS,MANITOUFALLS,Hydro,HYD
MISSION,MISSION,Hydro,HYD
MTNCHUTE,MTNCHUTE,Hydro,HYD
NAGAGAMI,NAGAGAMI,Hydro,HYD
OTTERRAPIDS,OTTERRAPIDS,Hydro,HYD
PETER SUTHERLAND SR,PETER SUTHERLAND SR,Hydro,HYD
PINEPORTAGE,PINEPORTAGE,Hydro,HYD
RAYNER,RAYNER,Hydro,HYD
REDROCK,REDROCK,Hydro,HYD
SAUNDERS,SAUNDERS,Hydro,HYD
SILVERFALLS,SILVERFALLS,Hydro,HYD
SMOKY 2,SMOKY 2,Hydro,HYD
STEEPHILL,STEEPHILL,Hydro,HYD
STEWARTVLE,STEWARTVLE,Hydro,HYD
UMBATAFALLS,UMBATAFALLS,Hydro,HYD
UPPER WHITE RIVER,UPPER WHITE RIVER,Hydro,HYD
WELLS,WELLS,Hydro,HYD
WHITEDOG,WHITEDOG,Hydro,HYD
BRUCEA-G1,BRUCEA-G1,Nuclear,NUC
BRUCEA-G2,BRUCEA-G2,Nuclear,NUC
BRUCEA-G3,BRUCEA-G3,Nuclear,NUC
BRUCEA-G4,BRUCEA-G4,Nuclear,NUC
BRUCEB-G5,BRUCEB-G5,Nuclear,NUC
BRUCEB-G6,BRUCEB-G6,Nuclear,NUC
BRUCEB-G7,BRUCEB-G7,Nuclear,NUC
BRUCEB-G8,BRUCEB-G8,Nuclear,NUC
DARLINGTON-G1,DARLINGTON-G1,Nuclear,NUC
DARLINGTON-G2,DARLINGTON-G2,Nuclear,NUC
DARLINGTON-G3,DARLINGTON-G3,Nuclear,NUC
DARLINGTON-G4,DARLINGTON-G4,Nuclear,NUC
PICKERINGA-G1,PICKERINGA-G1,Nuclear,NUC
PICKERINGA-G4,PICKERINGA-G4,Nuclear,NUC
PICKERINGB-G5,PICKERINGB-G5,Nuclear,NUC
PICKERINGB-G6,PICKERINGB-G6,Nuclear,NUC
PICKERINGB-G7,PICKERINGB-G7,Nuclear,NUC
PICKERINGB-G8,PICKERINGB-G8,Nuclear,NUC
ARLEN BESS,ARLEN BESS,Other,OTH
GOREWAY BESS,GOREWAY BESS,Other,OTH
HAGERSVILLE BESS,HAGERSVILLE BESS,Other,OTH
NAPANEE BESS,NAPANEE BESS,Other,OTH
ONEIDA ENERGY STORAGE,ONEIDA ENERGY STORAGE,Other,OTH
TILBURY BATTERY STORAGE,TILBURY BATTERY STORAGE,Other,OTH
YORK BESS,YORK BESS,Other,OTH
GRANDSF,GRANDSF,Solar,SOL
KINGSTONSF,KINGSTONSF,Solar,SOL
NANTICOKE SOLAR,NANTICOKE SOLAR,Solar,SOL
NORTHLAND POWER SOLAR FACILITIES,NORTHLAND POWER SOLAR FACILITIES,Solar,SOL
SOUTHGATE SF,SOUTHGATE SF,Solar,SOL
STONE MILLS SF,STONE MILLS SF,Solar,SOL
WINDSOR AIRPORT SF,WINDSOR AIRPORT SF,Solar,SOL
ADELAIDE,ADELAIDE,Wind,WND
AMARANTH,AMARANTH,Wind,WND
AMHERST ISLAND,AMHERST ISLAND,Wind,WND
ARMOW,ARMOW,Wind,WND
BELLE RIVER,BELLE RIVER,Wind,WND
BLAKE,BLAKE,Wind,WND
BORNISH,BORNISH,Wind,WND
BOW LAKE,BOW LAKE,Wind,WND
BOW LAKE 2,BOW LAKE 2,Wind,WND
CEDAR POINT 2,CEDAR POINT 2,Wind,WND
COMBER,COMBER,Wind,WND
CRYSLER,CRYSLER,Wind,WND
DILLON,DILLON,Wind,WND
EAST LAKE,EAST LAKE,Wind,WND
ERIEAU,ERIEAU,Wind,WND
GOSFIELDWGS,GOSFIELDWGS,Wind,WND
GOSHEN,GOSHEN,Wind,WND
GOULAIS,GOULAIS,Wind,WND
GRAND VALLEY 3,GRAND VALLEY 3,Wind,WND
GRANDWF,GRANDWF,Wind,WND
GREENWICH,GREENWICH,Wind,WND
HENVEY NORTH,HENVEY NORTH,Wind,WND
HENVEY SOUTH,HENVEY SOUTH,Wind,WND
JERICHO,JERICHO,Wind,WND
K2WIND,K2WIND,Wind,WND
KINGSBRIDGE,KINGSBRIDGE,Wind,WND
LANDON,LANDON,Wind,WND
MCLEANSMTNWF-LT.AG_T1,MCLEANSMTNWF-LT.AG_T1,Wind,WND
NORTH KENT,NORTH KENT,Wind,WND
PAROCHES,PAROCHES,Wind,WND
PORT BURWELL,PORT BURWELL,Wind,WND
PORTALMA-T1,PORTALMA-T1,Wind,WND
PORTALMA-T3,PORTALMA-T3,Wind,WND
PRINCEFARM,PRINCEFARM,Wind,WND
RAILBEDWF-LT.AG_SR,RAILBEDWF-LT.AG_SR,Wind,WND
RIPLEY SOUTH,RIPLEY SOUTH,Wind,WND
ROMNEY,ROMNEY,Wind,WND
SANDUSK-LT.AG_T1,SANDUSK-LT.AG_T1,Wind,WND
SHANNON,SHANNON,Wind,WND
SPENCE,SPENCE,Wind,WND
SUMMERHAVEN,SUMMERHAVEN,Wind,WND
UNDERWOOD,UNDERWOOD,Wind,WND
WEST LINCOLN NRWF,WEST LINCOLN NRWF,Wind,WND
WOLFE ISLAND,WOLFE ISLAND,Wind,WND
ZURICH,ZURICH,Wind,WND
