\\Generator Output Capability Month Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2025-05-01 06:00:10,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For April 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery Date,Generator,Fuel Type,Measurement,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
2025-04-01,ABKENORA,HYDRO,Capability,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
2025-04-01,ABKENORA,HYDRO,Output,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
2025-04-01,ADELAIDE,WIND,Output,48,42,39,22,12,9,9,16,2,0,14,13,6,1,0,4,10,7,4,1,7,12,17,32,
2025-04-01,ATIKOKAN-G1,BIOFUEL,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025-04-01,BECK2,HYDRO,Output,961,1022,1189,1164,1051,1184,1088,929,812,802,964,970,950,866,867,885,886,1019,1036,1018,1086,1056,1026,1024,
2025-04-01,BRUCEA-G1,NUCLEAR,Output,817,817,817,817,817,817,818,818,819,819,819,819,818,819,818,817,817,817,816,817,817,816,816,816,
2025-04-01,DARLINGTON-G1,NUCLEAR,Output,874,874,875,875,874,874,875,875,875,875,875,876,875,875,875,875,875,875,875,875,875,875,875,875,
2025-04-01,DPNTMTLND,GAS,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,21,21,15, , , ,
2025-04-01,GRANDSF,SOLAR,Output,0,0,0,0,0,0,2,12,20,30,58,79,80,81,23,33,43,12,1,0,0,0,0,0,
2025-04-01,HALTONHILLS-LT.G1,GAS,Output, , , , , , , , , , , ,0, , , , , , , , , , , , ,
2025-04-01,KINGSTONSF,SOLAR,Output,0,0,0,0,0,0,8,38,71,96,97,97,97,97,95,80,49,15,1,0,0,0,0,0,
2025-04-01,NAPANEE-G1,GAS,Output,192,192,215,228,226,248,266,227,198,198,197,198,200,198,197,198,198,196,206,266,268,209,194,194,
2025-04-01,PICKERINGB-G5,NUCLEAR,Output,517,517,517,515,517,517,517,515,517,517,517,517,517,517,517,515,517,517,517,516,516,518,518,518,
2025-04-01,PORTLANDS-G1,GAS,Output,115,115,151,176,151,163,176,134,122,122,127,125,125,125,125,125,129,125,145,174,173,125,114,112,
2025-04-01,STCLAIRCGS,GAS,Output,0,0,0,16,55,73,288,401,395,246,210,201,247,200,201,201,254,387,506,568,573,439,212,25,
2025-04-02,BRUCEA-G1,NUCLEAR,Output,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,
2025-04-02,ADELAIDE,WIND,Output,42,47,43,50,53,54,55,55,55,55,48,17,17,37,41,55,55,56,55,55,56,55,43,6,
